,x4,y4,z4,IncomeGroup
97,128.2402755,36.71231447,-0.05821234,1
98,13.42589538,-69.89687612,3.667248676,3
99,-75.81855347,14.24128315,9.054717186,3
100,90.35878502,-5.460119525,-19.66321978,3
101,94.31090906,26.57875699,39.629954,1
102,-72.86278849,-26.00488471,9.945494229,4
103,161.263322,24.39332891,-7.246083267,2
104,-17.98356995,-17.07685625,28.99292535,3
105,135.2874523,-19.42322728,20.14599404,2
106,167.0128352,-7.952162712,-11.97819367,1
107,161.4479842,7.33479566,-11.54305142,2
108,88.52022353,1.943192134,7.27369869,3
109,-1.083240277,-32.98018671,-31.40475668,1
110,-148.8259103,-3.838831814,16.33522588,3
111,40.60825253,23.277054,3.205302021,3
112,122.6599857,-19.19218332,-8.141847787,1
113,4.392696487,50.14470352,-19.71030507,2
114,43.81842624,1.391822123,-2.348710861,2
115,-203.4617506,-0.769908205,-5.736426331,4
116,-186.1628489,-5.567111419,-18.80628814,4
117,67.45887568,27.97074222,3.85199945,1
118,-152.770811,-27.9679235,14.33331121,4
119,-46.27033921,-4.783387368,37.24213551,4
120,-9.268298438,-49.9011614,16.61549124,2
121,-88.03134238,1.823787901,2.529450109,3
122,-13.17779768,15.54453208,11.32495887,3
123,-50.89575982,-29.64689087,23.87883641,2
124,119.3780105,-21.63804479,-4.662562913,2
125,-135.3670973,15.03294285,7.862198314,4
126,-142.2055298,0.290420515,-2.581004809,4
127,1.526288746,18.19460222,3.561930577,3
128,-137.0098036,-0.201703718,14.76035467,4
129,-98.97873385,27.1566179,10.98886455,3
130,30.81055766,33.43274057,-6.562856339,3
131,11.96588036,27.61588068,-0.523094935,1
132,-78.22071365,4.239353952,-18.03979001,4
133,177.3168926,4.537241286,-0.070252835,2
134,51.87892369,-48.26924061,35.16583312,1
135,-199.4246821,-5.676330943,1.032568027,4
136,56.35988209,0.551311867,-51.43379964,2
137,-2.11E-15,1.20E-17,-6.20E-17,1
138,-35.61298463,-52.69595063,13.49836187,2
139,208.1960817,-8.8944402,-3.156814833,1
140,-37.10811163,41.09938484,19.36397312,3
141,21.68714042,-13.44703943,23.35941963,2
142,-96.68667134,8.289912125,10.50096898,4
143,-114.8203442,6.416019237,-20.82662204,4
144,-195.5570481,4.829784985,6.352915566,4
145,187.0222297,-5.541704116,0.127797282,2
146,79.22937633,8.020862771,-27.40120811,1
147,148.4226756,3.605769205,12.04860534,1
148,-123.3751264,4.806249632,-3.48808172,3
149,87.68939583,-17.4944444,20.56634239,2
150,153.4708274,-21.43355256,20.51728455,3
151,-2.11E-15,1.20E-17,-6.20E-17,2
152,-2.11E-15,1.20E-17,-6.20E-17,4
153,79.49361027,37.41286981,47.17239953,2
154,-131.2320537,-0.411609739,-18.79348815,3
155,-163.6250413,-2.840758176,15.74831521,4
156,138.5602847,10.99481004,-0.912373389,1
157,-2.11E-15,1.20E-17,-6.20E-17,1
158,-47.55089649,17.60220015,-2.522939495,2
159,37.21339634,17.50664224,-6.588916353,4
160,-186.1852397,4.292743298,-15.00469705,4
161,115.557705,64.24134711,-19.37698859,2
162,-5.684619733,22.71514072,14.46946792,3
163,-81.99366623,1.49456818,9.194594484,2
164,169.0305351,23.79468564,11.46864248,2
165,-124.6261293,4.523384715,9.771840959,3
166,96.43780927,-8.977840383,-40.91097447,2
167,132.8426239,30.70303429,-11.53251993,1
