,x,y,z,IncomeGroup
61,-123.7112866,17.23081571,-1.211269733,4
62,18.06196081,20.26744166,5.676283136,2
63,152.2088982,12.47625833,18.13862364,3
64,-182.4627519,2.823458075,-1.508083542,4
65,25.04217496,-10.21623811,-19.28145985,2
66,-25.73519059,12.1963406,-6.958117132,3
67,118.3059847,-11.16706128,-5.850811997,1
68,-101.9312353,2.057851855,-9.637600899,4
69,-79.71909241,-8.858977255,7.227255721,2
70,-90.84861114,-4.104294959,7.756783086,2
71,-170.8157007,5.992770813,-0.724245203,4
72,20.87891306,-38.2623314,-28.64459119,3
73,-5.16E-18,-8.09E-19,-5.75E-18,3
74,-5.16E-18,-8.09E-19,-5.75E-18,4
75,-107.1659755,-2.473799561,11.48863787,4
76,-139.6600477,-1.260009868,5.911990486,4
77,101.8062267,-7.978273918,-24.19158492,3
78,-60.56349266,-16.72833376,10.35928955,2
79,-184.1019119,4.026547675,0.588728314,4
80,142.4332852,11.929674,15.00100467,3
81,22.03684327,-2.804642696,11.17521805,2
82,76.52476734,-1.422250715,8.919127971,2
83,27.86307214,14.33187707,7.40733488,2
84,-134.1532088,-3.061519114,2.829556107,4
85,-72.21048111,25.61520939,3.025006958,4
86,107.0557815,5.232945093,-5.106704238,2
87,67.68310426,-15.69383513,13.50424902,3
88,76.92930537,-48.55449064,-22.61829381,1
89,-5.16E-18,-8.09E-19,-5.75E-18,3
90,55.53105625,-6.803247236,15.95034943,2
91,81.13008463,-5.700681045,-34.4980462,2
92,-37.62006907,9.749395235,-5.809025569,4
93,-133.4302888,1.566326134,-19.3379266,4
94,-81.6983858,12.67180484,14.75151612,4
95,59.02320757,-16.84841283,-21.93742183,2
96,88.33815903,6.299559886,20.95734452,2
97,104.9018302,-7.716003297,-22.04439549,1
98,-5.16E-18,-8.09E-19,-5.75E-18,3
99,-54.49220056,5.251720255,5.880070989,3
100,48.56078294,-7.613930077,25.20053737,3
101,91.31775731,25.65811343,8.075732706,1
102,-5.16E-18,-8.09E-19,-5.75E-18,4
103,178.2406627,-9.374947493,-10.05040248,2
104,-5.16E-18,-8.09E-19,-5.75E-18,3
105,145.8385157,-22.90989981,5.819616542,2
106,89.61746385,2.21107897,-19.91702497,1
107,-6.157505806,10.39005612,14.01611936,2
108,128.168554,-23.42069347,-7.547644764,3
109,47.24317128,6.265495584,-9.450138581,1
110,-131.6029698,1.178245481,-2.883338399,3
111,124.1138744,28.7825688,-33.48926317,3
112,156.5286225,50.22241415,-2.020642765,1
113,58.57454537,-18.64215464,3.557138707,2
114,118.0312835,-7.218625422,14.31553187,2
115,-198.3701358,-1.493770772,-1.775409613,4
116,-160.1604302,4.807047881,-7.462027065,4
117,135.7578908,25.45050933,24.16080859,1
118,-155.0772783,-3.255244853,4.021449778,4
119,-59.01272212,27.85572098,-31.93586558,4
120,-9.646063942,-17.94395461,4.314463841,2
121,-60.53778236,3.507580037,-7.588354848,3
122,-37.96173932,-22.74059666,-5.234508269,3
123,-18.3294578,1.006869086,-1.258452339,2
124,68.61917334,33.32515481,17.05379772,2
125,-86.44478248,7.743524257,-0.231674163,4
126,-123.5174351,10.04988233,-6.525826627,4
127,9.957825225,22.36026115,1.489501903,3
128,-73.32515906,15.50938344,18.25946523,4
129,-60.95526635,-16.73467806,6.807639849,3
130,70.60967471,10.09144238,12.34028308,3
131,188.2419081,7.659992446,-5.259690109,1
132,-83.27285226,5.556527435,-6.658577031,4
133,-25.90641941,5.614541628,21.35573794,2
134,67.06934753,-17.68742271,-2.125194843,1
135,-199.5082418,3.437447497,-0.155209937,4
136,144.3221403,-16.73134028,17.69252651,2
137,170.2869238,17.13311847,3.07543602,1
138,-16.29157113,-3.010008458,7.369602269,2
139,112.097994,33.02623515,-44.50003054,1
140,-5.16E-18,-8.09E-19,-5.75E-18,3
141,-49.26944139,-10.94446171,40.76254188,2
142,-66.95752667,-11.35196219,9.285149054,4
143,-100.3384352,-0.233491599,-10.40214378,4
144,-191.0575236,3.523007936,0.09384323,4
145,147.1981867,7.255204958,-25.67995751,2
146,167.7996326,8.97852213,-6.622589996,1
147,96.87679971,-41.89460815,10.13488826,1
148,-117.6481349,3.344498778,-3.191614927,3
149,173.0681675,-14.60950852,-6.101206597,2
150,-5.16E-18,-8.09E-19,-5.75E-18,3
151,192.2401637,3.111614895,-2.324867778,2
152,-5.16E-18,-8.09E-19,-5.75E-18,4
153,-28.82847152,-46.47656118,-15.4020604,2
154,-100.7338065,-10.9253477,4.395225676,3
155,-146.913538,5.767491472,-0.96503439,4
156,146.9583975,-12.20870049,-1.915847314,1
157,33.31931677,33.27183653,-2.782446377,1
158,10.65762519,24.06279813,-2.485879468,2
159,20.63139298,2.192990871,-5.099217255,4
160,-164.1772354,-0.951926795,0.963965154,4
161,132.9505105,12.94722159,4.484304506,2
162,-9.398359984,-8.47134638,-4.452795783,3
163,-58.93489839,-11.81814085,-3.596252965,2
164,94.49712264,4.416218992,-3.249077742,2
165,-135.7154765,-2.763035531,7.391450694,3
166,73.84032401,-11.94609281,48.68031487,2
167,97.72968897,30.99946759,42.41323025,1
