x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
-86.49483553,-47.21192492,-11.6942882,114.4914908,-12.57728148,-7.97983011,-67.02069491,-3.678675291,-16.59098515,-62.35986523,-57.61570573,-10.03125944,99.73842639,2.966306319,-3.317560572,-49.85095684,-5.746310758,9.4275711
-5.16E-18,-8.09E-19,-5.75E-18,-0.626240516,-22.87889227,-1.761954625,1.66321611,-31.47797292,2.328567163,-33.33877523,-25.87670164,3.654076953,-0.081441396,25.94181805,0.406642201,71.61083677,35.59943355,16.62488209
37.88124838,5.613639573,-17.76047392,-33.60259399,41.4027961,12.20987711,-59.02786518,12.68406762,4.568663757,15.87318823,25.74490832,5.343956017,-44.25163862,38.97672848,17.6902992,-19.27276514,-8.31768015,7.041663441
16.94266337,5.389764864,-45.18443619,-1.13E-15,-6.45E-17,-1.42E-16,52.59217877,-10.39279314,1.868701821,46.95615275,-11.1468729,9.187673692,-104.8601976,-33.74653124,-16.79305357,56.77640304,15.46758395,-36.64618606
88.12539352,6.706577981,18.73659106,-76.96734751,-18.02079352,3.526492161,48.85246803,-4.150638653,-7.70001915,97.39871082,-10.80108233,-27.83688446,-142.5866011,-19.82122925,-2.010593329,127.4031399,-14.0668811,3.720868951
-31.11079094,-7.701369204,3.25775968,88.33988023,-21.72322013,27.40159012,-81.09962629,19.94455166,9.683414181,-36.79788551,22.29982487,-12.89913267,63.24819438,8.075195908,19.68139227,-55.69460992,-20.04436975,-12.98209442
-5.16E-18,-8.09E-19,-5.75E-18,-1.13E-15,-6.45E-17,-1.42E-16,-1.08E-15,6.18E-17,3.46E-17,-2.11E-15,1.20E-17,-6.20E-17,23.5120344,16.30332939,-15.95827254,14.01367385,25.34777951,-13.27568576
132.750933,3.787690447,16.45228147,-120.4060299,0.696608537,-0.682781877,80.88044492,3.876582203,5.426061491,148.7810345,-14.44403245,-0.401980256,-133.2382405,-14.70961746,-24.53353637,160.5590236,20.52344195,3.547374929
-5.16E-18,-8.09E-19,-5.75E-18,-123.6608982,-28.64625343,-14.22276601,-16.72173675,-17.46617188,-43.07029098,96.04308587,7.420230706,-14.87643656,55.32404664,4.565004914,-2.600333341,-4.18E-18,-2.09E-18,1.15E-18
-5.16E-18,-8.09E-19,-5.75E-18,-1.13E-15,-6.45E-17,-1.42E-16,60.53480989,9.475379256,-39.42209259,123.729834,-43.64291744,-29.09485571,3.39E-15,2.38E-16,-6.94E-17,175.7778312,4.250244439,14.04370694
-174.629281,-0.571270967,-0.770270556,172.7406917,-16.35161868,4.413118657,-174.6578086,8.487600743,-7.135928508,-180.1679685,8.054206198,-8.83763164,175.5306157,16.22087502,5.941688141,-160.161709,7.847464249,-1.232922658
-184.7210863,6.662001286,-7.721642733,185.366254,-7.276860595,-6.54346783,-165.5964704,-13.10310187,-6.088337584,-176.9824871,-10.50152411,-0.847504501,185.1082199,5.950644069,1.512835328,-182.9769985,4.866438646,-1.076830317
-109.6901423,-9.613342468,-5.929406787,69.66255337,-40.71187869,-10.38805101,-94.96860254,-12.78479142,1.216846999,-99.10121542,-1.648518881,-10.16673355,92.2634446,-6.071423466,-17.32745386,-116.9948865,0.64815597,-6.979258138
-118.574204,-3.931216601,4.569873289,129.2680603,8.445966382,-1.144178185,-134.6469026,0.462025248,6.271052385,-134.9075612,-0.972121851,10.23604929,147.2905702,-0.296976097,-4.708441118,-148.1840564,-8.247720797,2.636000661
