LP.LPI.CUST.RK	LP.LPI.CUST.XQ	LP.LPI.INFR.RK	LP.LPI.INFR.XQ	LP.LPI.ITRN.RK	LP.LPI.ITRN.XQ	LP.LPI.LOGS.RK	LP.LPI.LOGS.XQ	LP.LPI.OVRL.RK	LP.LPI.OVRL.RK.ZS	LP.LPI.OVRL.XQ	LP.LPI.TIME.RK	LP.LPI.TIME.XQ	LP.LPI.TRAC.RK	LP.LPI.TRAC.XQ
16.0	3.6126099999999997	11.0	4.0	17.0	3.6509400000000003	10.0	3.94949	12.0	90.7040454178146	3.89376360111722	10.0	4.25301	15.0	3.9591800000000004
142.0	1.8	134.0	1.8888900000000002	62.0	2.77778	75.0	2.55556	89.0	45.3106016129031	2.4455603285186003	107.0	2.77778	54.0	2.88889
115.0	2.125	133.0	1.8888900000000002	71.0	2.66667	102.0	2.33333	121.0	38.9275307025574	2.2419189343710295	143.0	2.25	122.0	2.125
125.0	2.0	82.0	2.28571	96.0	2.4615400000000003	103.0	2.33333	87.0	46.1201601649761	2.4713879645426697	54.0	3.33333	88.0	2.4615400000000003
66.0	2.46667	64.0	2.46667	59.0	2.78571	53.0	2.8571400000000002	55.0	58.6407802692575	2.87083778570875	43.0	3.55556	39.0	3.1428599999999998
22.0	3.4	27.0	3.4	27.0	3.33333	59.0	2.75	36.0	67.46202661862979	3.15226516289702	84.0	3.0	47.0	3.0
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
84.0	2.3157900000000002	86.0	2.26316	86.0	2.5	98.0	2.36842	88.0	45.66695412873239	2.45692917028	77.0	3.0	105.0	2.29412
50.0	2.66667	54.0	2.625	127.0	2.125	120.0	2.125	74.0	48.009554602342604	2.53166599101679	78.0	3.0	66.0	2.71429
128.0	2.0	109.0	2.08	99.0	2.41667	117.0	2.17391	107.0	40.9772620655541	2.3073122471277596	104.0	2.80952	93.0	2.38095
74.0	2.38571	49.0	2.74648	75.0	2.6087	49.0	2.93939	61.0	54.873502645681	2.75064898032314	71.0	3.10169	65.0	2.76923
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
135.0	1.95	127.0	1.94737	134.0	2.05882	116.0	2.17647	128.0	36.2580491719313	2.15675351036379	126.0	2.57143	109.0	2.26667
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
9.0	3.8181800000000004	12.0	3.94898	8.0	3.77895	12.0	3.85393	10.0	91.5867846444353	3.92192594637433	13.0	4.18824	11.0	3.97778
5.0	3.8484800000000003	4.0	4.13333	14.0	3.66667	8.0	4.0	7.0	94.5416597397417	4.01619638334611	2.0	4.48	9.0	4.03571
24.0	3.32075	34.0	3.0566	34.0	3.2115400000000003	35.0	3.1875	32.0	70.5370790738597	3.25036966116368	44.0	3.5476199999999998	37.0	3.17021
35.0	2.99296	30.0	3.20285	28.0	3.31273	27.0	3.4	30.0	72.7802706195297	3.32193500331896	36.0	3.67729	31.0	3.3745300000000005
98.0	2.22222	94.0	2.22222	128.0	2.125	97.0	2.375	102.0	42.6709388449779	2.3613462231624402	61.0	3.25	128.0	2.0
57.0	2.57143	114.0	2.0	110.0	2.33333	109.0	2.25	84.0	46.6648382138468	2.488765023139	57.0	3.28571	85.0	2.5
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
116.0	2.10256	85.0	2.28205	74.0	2.61111	86.0	2.44444	82.0	46.9318238212502	2.4972827604589503	87.0	2.93939	71.0	2.62857
85.0	2.3	65.0	2.4615400000000003	108.0	2.33333	72.0	2.63636	85.0	46.3251009543451	2.4779262638426496	117.0	2.66667	83.0	2.5
64.0	2.4857099999999996	67.0	2.4333299999999998	82.0	2.53333	89.0	2.42857	72.0	48.7386399494639	2.5549262616021697	91.0	2.88889	78.0	2.57143
75.4496644295302	2.5573977852348997	75.3489932885906	2.583294161073826	75.22818791946308	2.7214438926174496	75.28859060402685	2.708898120805369	75.23489932885906	54.6475485200147	2.74344028503989	75.14765100671141	3.1738694630872484	75.1744966442953	2.7331138926174496
41.0	2.76923	41.0	2.90909	51.0	2.92308	58.0	2.76923	49.0	60.19950480254029	2.92056633196934	62.0	3.25	50.0	2.92308
36.0	2.95	36.0	3.0	43.0	3.0625	42.0	3.0	38.0	66.9091324493598	3.1346259824731098	42.0	3.5625	35.0	3.26667
4.0	3.88279	3.0	4.191330000000001	4.0	3.90984	3.0	4.20728	3.0	97.1275585038932	4.09869523646128	8.0	4.3272699999999995	5.0	4.11864
146.0	1.63636	130.0	1.91667	137.0	2.0	133.0	2.0	145.0	29.5499937561911	1.9427440193104397	138.0	2.3	143.0	1.81818
2.0	3.9714300000000002	14.0	3.8235300000000003	15.0	3.66667	15.0	3.83333	13.0	89.61583508240851	3.8590460375901197	19.0	4.11111	17.0	3.7586199999999996
82.0	2.33333	97.0	2.1842099999999998	107.0	2.34211	108.0	2.25	96.0	43.26133842916661	2.38018195225225	90.0	2.89474	107.0	2.28205
148.0	1.6	139.0	1.83333	139.0	2.0	139.0	1.91667	140.0	33.3312988816389	2.06338034910516	103.0	2.81818	108.0	2.27273
88.0	2.25	72.0	2.36364	72.0	2.63636	71.0	2.63636	70.0	50.1414250372224	2.59967981596071	59.0	3.27273	89.0	2.45455
122.0	2.07692	121.0	2.0	111.0	2.33333	95.0	2.38462	97.0	42.9683773851712	2.3708355112886297	96.0	2.84615	72.0	2.61538
113.0	2.1428599999999998	117.0	2.0	135.0	2.0	69.0	2.66667	124.0	37.2315470762333	2.18781136217466	149.0	1.83333	82.0	2.5
30.0	3.16667	24.0	3.51064	23.0	3.45	24.0	3.55	26.0	78.9543633328132	3.5189092913049502	29.0	3.8571400000000002	22.0	3.625
42.0	2.75	40.0	2.91304	56.0	2.85	45.0	3.0	47.0	61.0339534665567	2.9471880461366498	53.0	3.3529400000000003	58.0	2.84211
109.0	2.1428599999999998	135.0	1.875	97.0	2.42857	129.0	2.0	104.0	41.5863888201516	2.32674543583287	37.0	3.66667	141.0	1.83333
14.0	3.6842099999999998	17.0	3.8095199999999996	30.0	3.3	13.0	3.85	15.0	88.2604220746691	3.8158038116429798	14.0	4.17647	2.0	4.16667
